14056,12123,240,10547,12365,446,2210,505,6794,9024
10862,365,2793,5705,240,848,4872,2534,361,1543
4368,13680,7806,8266,12040,5269,6393,14542,928,8293
6054,8963,10406,13459,9683,12637,11886,1487,7534,3868
12293,6161,11253,5914,9866,10871,13640,5167,14673,7788
2918,5095,7318,8982,11187,1693,12306,8290,13211,2089
1786,7173,12563,928,9847,13442,6499,8502,1835,4199
596,3031,5564,11342,5795,1238,2757,4019,4406,7587
12481,2918,12419,10529,1330,8661,9170,9398,2200,11347
13495,5963,1748,4047,10526,8800,1052,11843,12869,11919
7857,13450,8443,14636,2125,868,4320,4137,12180,6788
642,11504,10358,845,925,3118,774,8027,10138,9143
11713,12761,5448,13315,13605,10395,1085,9653,10276,10228
13300,4126,698,13284,7256,1618,10719,10036,10496,3016
8557,3218,2174,3392,4770,9106,7828,12175,5108,2532
5881,10610,14430,14642,4613,12867,354,2132,283,8474
4274,7244,13779,11379,11538,13197,5570,5630,11088,5356
10928,6914,2873,10256,1571,10457,12990,5812,6742,4426
4923,14680,9682,7895,5620,8051,8456,9599,14820,1792
8401,1769,11618,7632,11703,2016,13549,9384,7785,7775
2657,7020,1709,11112,4825,5444,254,9394,5996,2304
14523,6313,559,10125,5270,12477,10342,1766,13551,11370
14469,10494,3113,5513,7402,5367,12000,3782,8634,11650
6057,2721,10891,5654,13742,4014,1371,13751,9679,5357
9795,10376,4332,7126,14722,4101,12758,3773,8649,10365
10185,8891,6913,11754,4965,7751,7672,13344,13190,4264
10228,5477,1390,9770,11515,10198,12379,3245,7723,4303
2435,6457,6299,9801,3464,5280,8838,7163,1664,14558
6840,3392,7711,3933,3960,9319,12567,14471,604,7542
5815,5515,8712,13962,9624,8412,5505,8273,9103,11708
4329,8307,2098,8551,11320,4812,11824,3250,7783,1659
2731,6169,9129,5645,7873,6226,5903,4263,10324,11639
12208,342,10687,10963,6350,14609,2272,9155,7542,6825
3164,2687,2248,844,10876,12768,13121,2463,5917,9447
2004,9934,4140,13786,3293,10871,335,5529,4179,13428
4623,10630,8572,6726,10641,7968,13157,13045,12668,6752
8650,5713,11598,5000,4289,4524,6181,11353,9971,10711
4423,9090,7421,2226,8217,1764,2100,11851,14504,5599
9537,3931,1437,7628,8479,1919,12114,12838,12328,331
6512,7597,10039,6208,2963,1547,12011,1189,14653,5517
14643,1084,7376,8159,7498,4280,7898,2618,1347,9988
552,14517,10903,14262,854,3250,3117,4806,5152,9806
11357,7838,6951,9240,737,9002,1905,9748,9477,3996
14667,11482,12746,14656,7471,13799,4947,12280,3943,7817
8176,7431,13014,13456,2005,8108,10635,2920,9761,510
9505,3095,8514,13711,3946,5332,11823,246,4366,5790
9123,10666,150,3020,11285,6994,4423,916,9182,3281
2764,9996,14009,8021,7431,168,7784,2622,5046,3536
5763,12948,1136,7416,6711,1547,7517,10561,10364,1893
12615,10468,9923,14195,4116,12867,1952,7246,2633,8041
14201,3419,13213,6120,3316,12581,8533,14306,7629,7842
10537,13557,4546,11127,3425,10722,12664,453,11866,9013
3638,2613,12496,7289,5505,11855,12660,10601,3260,12594
13617,9781,13131,4081,7259,9306,11939,2497,12889,5767
2070,11309,10610,754,9293,2278,2258,10952,3472,1561
2733,14095,9432,11810,4020,4315,14972,8320,6788,4144
223,10117,6085,12580,3858,9765,4073,2010,14974,8928
7865,12555,14954,6582,5288,3102,3785,4193,4434,10742
1321,2,2337,356,1174,9599,5033,14337,1547,13662
10212,8023,4361,8961,8330,1385,4575,4675,490,9538
12962,11834,10679,4560,6754,14394,5536,13575,11971,11946
8728,13420,5865,5406,11258,760,9583,9400,344,6398
9599,12691,3505,4018,12883,76,11277,9649,6672,5499
6379,5179,9580,1347,8142,4140,8049,2879,14798,6536
7961,7650,3991,3943,9484,11548,381,1377,1849,12964
9524,3579,946,13942,2267,2853,13215,14563,10798,9377
10950,9555,13823,1732,3988,12670,5949,11518,986,11201
3521,2716,5937,3105,4654,4002,6168,4032,3014,2512
7524,6965,13164,6676,9730,9409,14481,13264,3903,5760
3613,4848,10982,4100,11857,14791,4302,10356,13260,11389
4219,6832,3458,9342,11759,8748,11246,3013,316,12601
8647,6908,5982,13557,9410,5369,6003,9999,5267,9822
4675,11104,726,2103,11125,9481,897,4520,14795,1028
1619,1406,11914,13750,10283,4710,6887,4173,11296,13437
5114,4486,13848,9551,8818,12859,10784,12483,5887,9791
14501,10807,9683,14535,5984,1584,8706,12381,4721,6687
3844,11940,10772,12233,4107,1882,6743,12784,14382,5079
9617,3633,5600,994,7952,4613,10942,13880,13049,5164
14311,3237,1633,2284,12226,4983,2850,7708,11965,3726
2403,5399,1402,12036,11482,14026,2063,2061,6408,6140
5912,12114,11823,4192,5301,14632,13249,2884,11554,5731
9843,2844,8787,2630,12485,14725,8061,14257,4169,13872
8846,12514,2421,13336,7056,6723,4385,5470,11641,9912
5354,5220,2054,11244,1093,1402,14186,6675,2730,8897
6492,3717,10889,13764,10887,4287,13973,10059,6881,10312
35,9297,14266,13298,9339,10350,6584,12725,12703,2460
6807,12788,8830,98,11550,10292,14884,5558,3813,13439
6734,5122,10517,11879,7251,3070,9835,7590,3633,12253
4807,13033,12220,10657,5259,3255,3289,4235,9554,6
2888,2630,7369,12012,3468,14116,2098,6716,10220,998
6485,6358,5687,3411,9349,10039,8228,4851,2114,11800
14380,9874,1681,14757,5221,11561,8827,14530,5514,4295
6933,367,5044,14046,8085,1213,6392,8229,12938,11253
11045,7866,5789,7184,1796,2129,10363,8699,3855,955
